gene_id,gene_name,entrez_id,gene_type,logFC,logCPM,F,PValue,FDR
ENSG00000167969,ECI1,1632,protein_coding,-0.040154757,3.961784541,0.396902283,0.5302421,0.588553686
ENSG00000170312,CDK1,983,protein_coding,-0.120831131,-0.950398401,0.396907291,0.530264121,0.588553686
ENSG00000173992,CCS,9973,protein_coding,-0.035015175,4.735047441,0.396451272,0.530475323,0.588755385
ENSG00000198824,CHAMP1,283489,protein_coding,0.03857342,4.481130867,0.396265442,0.530571487,0.588829392
ENSG00000168653,NDUFS5,4725,protein_coding,-0.051631213,2.877191524,0.396119673,0.530647065,0.588850245
ENSG00000278997,ENSG00000278997,NA,TEC,-0.064449101,1.290839209,0.396116484,0.530649245,0.588850245
ENSG00000290993,ENSG00000290993,132241,lncRNA,0.044135918,4.832061616,0.395479577,0.530978495,0.589182871
ENSG00000099800,TIMM13,26517,protein_coding,0.043849787,3.956191827,0.39537307,0.531033735,0.589203186
ENSG00000198246,SLC29A3,55315,protein_coding,0.04893622,2.821440056,0.39533068,0.531055806,0.589203186
ENSG00000164087,POC1A,25886,protein_coding,0.07427869,0.737984062,0.395076846,0.531188665,0.589300083
ENSG00000131503,ANKHD1,54882,protein_coding,-0.066591146,3.48463111,0.395048336,0.531202153,0.589300083
ENSG00000216035,MIR938,100126327,miRNA,-0.136861339,-1.026025186,0.394900616,0.531305092,0.589381543
ENSG00000149196,HIKESHI,51501,protein_coding,-0.035440252,3.238619571,0.394467901,0.531503376,0.589568755
ENSG00000207633,MIR505,574508,miRNA,0.12123776,-1.181014109,0.393429275,0.53207444,0.590169428
ENSG00000254454,RCC2P6,NA,processed_pseudogene,-0.153909517,-0.877221694,0.393000443,0.532288816,0.590374423
ENSG00000225195,ENSG00000225195,NA,lncRNA,-0.090987171,2.76573433,0.39235718,0.532601378,0.59068829
ENSG00000260947,ENSG00000260947,NA,lncRNA,-0.115048246,-0.628610515,0.392277388,0.532660317,0.590720853
ENSG00000175294,CATSPER1,117144,protein_coding,0.065392768,1.749470785,0.391607344,0.532992714,0.591056662
